date,likes
3/1/2020,33
3/2/2020,38
3/3/2020,45
3/4/2020,55
3/5/2020,67
3/6/2020,81
3/7/2020,100
3/8/2020,112
3/9/2020,172
3/10/2020,179
3/11/2020,202
3/12/2020,252
3/13/2020,320
3/14/2020,381
3/15/2020,478
3/16/2020,588
3/17/2020,732
3/18/2020,893
3/19/2020,1067
3/20/2020,1283
3/21/2020,1544
3/22/2020,1851
3/23/2020,2240
3/24/2020,2644
3/25/2020,3183
3/26/2020,4060
3/27/2020,4915
3/28/2020,5566
3/29/2020,6321
3/30/2020,7421
3/31/2020,8583
4/1/2020,9857
4/2/2020,11190
4/3/2020,12569
4/4/2020,13796
4/5/2020,15202
4/6/2020,16361
4/7/2020,17540
4/8/2020,19043
4/9/2020,20191
4/10/2020,21366
4/11/2020,22421
4/12/2020,23323
4/13/2020,24334
4/14/2020,25758
4/15/2020,27107
4/16/2020,28142
4/17/2020,29398
4/18/2020,30829
4/19/2020,31544
4/20/2020,33862
4/21/2020,35844
4/22/2020,37573
4/23/2020,39534
4/24/2020,41368
4/25/2020,42590
4/26/2020,43691
4/27/2020,45208
4/28/2020,46570
4/29/2020,48904
4/30/2020,50470
5/1/2020,52318
5/2/2020,53753
5/3/2020,55072
5/4/2020,56333
5/5/2020,58848
5/6/2020,60787
5/7/2020,62481
5/8/2020,64616
5/9/2020,66824
5/10/2020,68051
5/11/2020,69514
5/12/2020,71150
5/13/2020,73218
5/14/2020,74947
5/15/2020,77015
5/16/2020,78933
5/17/2020,80366
5/18/2020,81943
5/19/2020,83981
5/20/2020,86125
5/21/2020,88488
5/22/2020,90801
5/23/2020,92815
5/24/2020,94743
5/25/2020,97017
5/26/2020,99924
5/27/2020,101873
5/28/2020,104071
5/29/2020,107043
5/30/2020,110100
5/31/2020,113114
6/1/2020,115643
6/2/2020,118081
6/3/2020,120407
6/4/2020,122917
6/5/2020,126510
6/6/2020,129147
6/7/2020,131997
6/8/2020,134287
6/9/2020,137245
6/10/2020,140139
6/11/2020,143709
6/12/2020,147285
6/13/2020,150434
6/14/2020,152953
6/15/2020,155662
6/16/2020,159131
6/17/2020,163381
6/18/2020,167135
6/19/2020,170843
6/20/2020,174854
6/21/2020,178807
6/22/2020,184620
6/23/2020,191039
6/24/2020,195889
6/25/2020,201413
6/26/2020,207027
6/27/2020,211453
6/28/2020,216955
6/29/2020,223995
6/30/2020,232153
7/1/2020,239764
7/2/2020,248198
7/3/2020,256298
7/4/2020,265176
7/5/2020,271587
7/6/2020,277869
7/7/2020,287766
7/8/2020,296304
7/9/2020,303516
7/10/2020,311505
7/11/2020,320030
7/12/2020,327676
7/13/2020,336206
7/14/2020,346593
7/15/2020,355497
7/16/2020,364761
7/17/2020,374922
7/18/2020,383194
7/19/2020,391460
7/20/2020,400195
7/21/2020,410366
7/22/2020,422528
7/23/2020,433175
7/24/2020,443096
7/25/2020,453327
7/26/2020,459338
7/27/2020,467103
7/28/2020,474951
7/29/2020,486039
7/30/2020,494269
7/31/2020,502273
8/1/2020,509507
8/2/2020,515937
8/3/2020,522235
8/4/2020,527258
8/5/2020,532776
8/6/2020,541013
8/7/2020,548142
8/8/2020,556158
8/9/2020,563244
8/10/2020,574267
8/11/2020,586078
8/12/2020,595097
8/13/2020,603212
8/14/2020,613243
8/15/2020,621981
8/16/2020,628508
8/17/2020,634991
8/18/2020,640499
8/19/2020,646742
8/20/2020,653401
8/21/2020,659991
8/22/2020,665325
8/23/2020,669944
8/24/2020,676236
8/25/2020,682320
8/26/2020,687612
8/27/2020,692964
8/28/2020,698391
8/29/2020,702500
8/30/2020,706589
8/31/2020,712543
9/1/2020,716630
9/2/2020,722037
9/3/2020,727403
9/4/2020,732693
9/5/2020,737074
9/6/2020,740230
9/7/2020,742685
9/8/2020,746114
9/9/2020,749197
9/10/2020,753019
9/11/2020,757126
9/12/2020,760582
9/13/2020,763390
9/14/2020,767063
9/15/2020,769918
9/16/2020,773319
9/17/2020,776945
9/18/2020,781437
9/19/2020,785077
9/20/2020,788078
9/21/2020,792220
9/22/2020,795080
9/23/2020,798351
9/24/2020,801674
9/25/2020,805736
9/26/2020,809215
9/27/2020,811699
9/28/2020,814797
9/29/2020,817940
9/30/2020,821126
10/1/2020,824307
10/2/2020,828365
10/3/2020,831495
10/4/2020,834636
10/5/2020,837722
10/6/2020,840324
10/7/2020,843734
10/8/2020,847385
10/9/2020,851229
