date,close
3/1/20,33
3/2/20,38
3/3/20,45
3/4/20,55
3/5/20,67
3/6/20,81
3/7/20,100
3/8/20,112
3/9/20,172
3/10/20,179
3/11/20,202
3/12/20,252
3/13/20,320
3/14/20,381
3/15/20,478
3/16/20,588
3/17/20,732
3/18/20,893
3/19/20,1067
3/20/20,1283
3/21/20,1544
3/22/20,1851
3/23/20,2240
3/24/20,2644
3/25/20,3183
3/26/20,4060
3/27/20,4915
3/28/20,5566
3/29/20,6321
3/30/20,7421
3/31/20,8583
4/1/20,9857
4/2/20,11190
4/3/20,12569
4/4/20,13796
4/5/20,15202
4/6/20,16361
4/7/20,17540
4/8/20,19043
4/9/20,20191
4/10/20,21366
4/11/20,22421
4/12/20,23323
4/13/20,24334
4/14/20,25758
4/15/20,27107
4/16/20,28142
4/17/20,29398
4/18/20,30829
4/19/20,31544
4/20/20,33862
4/21/20,35844
4/22/20,37573
4/23/20,39534
4/24/20,41368
4/25/20,42590
4/26/20,43691
4/27/20,45208
4/28/20,46570
4/29/20,48904
4/30/20,50470
5/1/20,52318
5/2/20,53753
5/3/20,55072
5/4/20,56333
5/5/20,58848
5/6/20,60787
5/7/20,62481
5/8/20,64616
5/9/20,66824
5/10/20,68051
5/11/20,69514
5/12/20,71150
5/13/20,73218
5/14/20,74947
5/15/20,77015
5/16/20,78933
5/17/20,80366
5/18/20,81943
5/19/20,83981
5/20/20,86125
5/21/20,88488
5/22/20,90801
5/23/20,92815
5/24/20,94743
5/25/20,97017
5/26/20,99924
5/27/20,101873
5/28/20,104071
5/29/20,107043
5/30/20,110100
5/31/20,113114
6/1/20,115643
6/2/20,118081
6/3/20,120407
6/4/20,122917
6/5/20,126510
6/6/20,129147
6/7/20,131997
6/8/20,134287
6/9/20,137245
6/10/20,140139
6/11/20,143709
6/12/20,147285
6/13/20,150434
6/14/20,152953
6/15/20,155662
6/16/20,159131
6/17/20,163381
6/18/20,167135
6/19/20,170843
6/20/20,174854
6/21/20,178807
6/22/20,184620
6/23/20,191039
6/24/20,195889
6/25/20,201413
6/26/20,207027
6/27/20,211453
6/28/20,216955
6/29/20,223995
6/30/20,232153
7/1/20,239764
7/2/20,248198
7/3/20,256298
7/4/20,265176
7/5/20,271587
7/6/20,277869
7/7/20,287766
7/8/20,296304
7/9/20,303516
7/10/20,311505
7/11/20,320030
7/12/20,327676
7/13/20,336206
7/14/20,346593
7/15/20,355497
7/16/20,364761
7/17/20,374922
7/18/20,383194
7/19/20,391460
7/20/20,400195
7/21/20,410366
7/22/20,422528
7/23/20,433175
7/24/20,443096
7/25/20,453327
7/26/20,459338
7/27/20,467103
7/28/20,474951
7/29/20,486039
7/30/20,494269
7/31/20,502273
8/1/20,509507
8/2/20,515937
8/3/20,522235
8/4/20,527258
8/5/20,532776
8/6/20,541013
8/7/20,548142
8/8/20,556158
8/9/20,563244
8/10/20,574267
8/11/20,586078
8/12/20,595097
8/13/20,603212
8/14/20,613243
8/15/20,621981
8/16/20,628508
8/17/20,634991
