date,cases
2020-01-25,1
2020-01-26,1
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,1
2020-02-01,0
2020-02-02,3
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,1
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,1
2020-02-21,1
2020-02-22,0
2020-02-23,0
2020-02-24,2
2020-02-25,0
2020-02-26,15
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,5
2020-03-02,5
2020-03-03,7
2020-03-04,10
2020-03-05,12
2020-03-06,14
2020-03-07,19
2020-03-08,12
2020-03-09,60
2020-03-10,7
2020-03-11,23
2020-03-12,50
2020-03-13,68
2020-03-14,61
2020-03-15,97
2020-03-16,110
2020-03-17,144
2020-03-18,161
2020-03-19,174
2020-03-20,216
2020-03-21,261
2020-03-22,307
2020-03-23,389
2020-03-24,404
2020-03-25,539
2020-03-26,877
2020-03-27,855
2020-03-28,651
2020-03-29,755
2020-03-30,1100
2020-03-31,1162
2020-04-01,1274
2020-04-02,1333
2020-04-03,1379
2020-04-04,1227
2020-04-05,1406
2020-04-06,1159
2020-04-07,1179
2020-04-08,1503
2020-04-09,1148
2020-04-10,1175
2020-04-11,1055
2020-04-12,902
2020-04-13,1011
2020-04-14,1424
2020-04-15,1349
2020-04-16,1035
2020-04-17,1256
2020-04-18,1431
2020-04-19,715
2020-04-20,2318
2020-04-21,1982
2020-04-22,1729
2020-04-23,1961
2020-04-24,1834
2020-04-25,1222
2020-04-26,1101
2020-04-27,1517
2020-04-28,1362
2020-04-29,2334
2020-04-30,1566
2020-05-01,1848
2020-05-02,1435
2020-05-03,1319
2020-05-04,1261
2020-05-05,2515
2020-05-06,1939
2020-05-07,1694
2020-05-08,2135
2020-05-09,2208
2020-05-10,1227
2020-05-11,1463
2020-05-12,1636
2020-05-13,2068
2020-05-14,1729
2020-05-15,2068
2020-05-16,1918
2020-05-17,1433
2020-05-18,1577
2020-05-19,2038
2020-05-20,2144
2020-05-21,2363
2020-05-22,2313
2020-05-23,2014
2020-05-24,1928
2020-05-25,2274
2020-05-26,2907
2020-05-27,1949
2020-05-28,2198
2020-05-29,2972
2020-05-30,3057
2020-05-31,3014
2020-06-01,2529
2020-06-02,2438
2020-06-03,2326
2020-06-04,2510
2020-06-05,3593
2020-06-06,2637
2020-06-07,2850
2020-06-08,2290
2020-06-09,2958
2020-06-10,2894
2020-06-11,3570
2020-06-12,3576
2020-06-13,3149
2020-06-14,2519
2020-06-15,2709
2020-06-16,3469
2020-06-17,4250
2020-06-18,3754
2020-06-19,3708
2020-06-20,4011
2020-06-21,3953
2020-06-22,5813
2020-06-23,6419
2020-06-24,4850
2020-06-25,5524
2020-06-26,5614
2020-06-27,4426
2020-06-28,5502
2020-06-29,7040
2020-06-30,8158
2020-07-01,7611
2020-07-02,8434
2020-07-03,8100
2020-07-04,8878
2020-07-05,6411
2020-07-06,6282
2020-07-07,9897
2020-07-08,8538
2020-07-09,7212
2020-07-10,7989
2020-07-11,8525
2020-07-12,7646
2020-07-13,8530
2020-07-14,10387
2020-07-15,8904
2020-07-16,9264
2020-07-17,10161
2020-07-18,8272
2020-07-19,8266
2020-07-20,8735
2020-07-21,10171
2020-07-22,12162
2020-07-23,10647
2020-07-24,9921
2020-07-25,10231
2020-07-26,6011
2020-07-27,7765
2020-07-28,7848
2020-07-29,11088
2020-07-30,8230
2020-07-31,8004
2020-08-01,7234
2020-08-02,6430
2020-08-03,6298
2020-08-04,5023
2020-08-05,5518
2020-08-06,8237
2020-08-07,7129
2020-08-08,8016
2020-08-09,7086
2020-08-10,11023
2020-08-11,11811
2020-08-12,9019
2020-08-13,8115
2020-08-14,10031
2020-08-15,8738
2020-08-16,6527
2020-08-17,6483
2020-08-18,5508
2020-08-19,6243
2020-08-20,6659
2020-08-21,6590
2020-08-22,5334
2020-08-23,4619
2020-08-24,6292
2020-08-25,6084
2020-08-26,5292
2020-08-27,5352
2020-08-28,5427
2020-08-29,4109
2020-08-30,4089
2020-08-31,5954
2020-09-01,4087
2020-09-02,5407
2020-09-03,5366
2020-09-04,5290
2020-09-05,4381
2020-09-06,3156
2020-09-07,2455
2020-09-08,3429
2020-09-09,3083
2020-09-10,3822
2020-09-11,4107
2020-09-12,3456
2020-09-13,2808
2020-09-14,3673
2020-09-15,2855
2020-09-16,3401
2020-09-17,3626
2020-09-18,4492
2020-09-19,3640
2020-09-20,3001
2020-09-21,4142
2020-09-22,2860
2020-09-23,3271
2020-09-24,3323
2020-09-25,4062
2020-09-26,3479
2020-09-27,2484
2020-09-28,3098
2020-09-29,3143
2020-09-30,3186
2020-10-01,3181
2020-10-02,4058
2020-10-03,3130
2020-10-04,3141
2020-10-05,3086
2020-10-06,2602
2020-10-07,3410
2020-10-08,3651
2020-10-09,3844
2020-10-10,3074
2020-10-11,2774
2020-10-12,2883
2020-10-13,3654
2020-10-14,3479
2020-10-15,3287
2020-10-16,3722
2020-10-17,2156
2020-10-18,2137
2020-10-19,4271
2020-10-20,4428
2020-10-21,3060
2020-10-22,6273
2020-10-23,5901
2020-10-24,4317
2020-10-25,2700
2020-10-26,4362
2020-10-27,4928
2020-10-28,4050
2020-10-29,4225
2020-10-30,4933
2020-10-31,3419
2020-11-01,3635
2020-11-02,5251
2020-11-03,5242
2020-11-04,5239
2020-11-05,6276
2020-11-06,6713
2020-11-07,5203
2020-11-08,6040
2020-11-09,6762
2020-11-10,8743
2020-11-11,5150
2020-11-12,9700
2020-11-13,9864
2020-11-14,7964
2020-11-15,8964
2020-11-16,11382
2020-11-17,10733
2020-11-18,11421
2020-11-19,13161
2020-11-20,13722
2020-11-21,13442
2020-11-22,8804
2020-11-23,17825
2020-11-24,16534
2020-11-25,14144
2020-11-26,8983
2020-11-27,16930
2020-11-28,13207
2020-11-29,13215
2020-11-30,17727
2020-12-01,16667
2020-12-02,18174
2020-12-03,21858
2020-12-04,24251
2020-12-05,25005
2020-12-06,28792
2020-12-07,27254
2020-12-08,26262
2020-12-09,31772
2020-12-10,33859
2020-12-11,37105
2020-12-12,26683
2020-12-13,35806
2020-12-14,30190
2020-12-15,34250
2020-12-16,60942
2020-12-17,45322
2020-12-18,48243
2020-12-19,37358
2020-12-20,42883
2020-12-21,43255
2020-12-22,35372
2020-12-23,44757
2020-12-24,34716
2020-12-25,16749
2020-12-26,64986
2020-12-27,37554
2020-12-28,41721
2020-12-29,34167
2020-12-30,32374
2020-12-31,32295
2021-01-01,37951
2021-01-02,52194
2021-01-03,35911
2021-01-04,40723
2021-01-05,37284
2021-01-06,36907
2021-01-07,40420
2021-01-08,50971
2021-01-09,47229
2021-01-10,42408
2021-01-11,40624
2021-01-12,45884
2021-01-13,41675
2021-01-14,40715
2021-01-15,39104
2021-01-16,37559
2021-01-17,31547
2021-01-18,25393
2021-01-19,39106
2021-01-20,19329
2021-01-21,25575
2021-01-22,25035
2021-01-23,22982
2021-01-24,21650
2021-01-25,26903
2021-01-26,21632
2021-01-27,18630
2021-01-28,19628
2021-01-29,19743
2021-01-30,17528
2021-01-31,13964
2021-02-01,17592
2021-02-02,12888
2021-02-03,12560
2021-02-04,14681
2021-02-05,14012
2021-02-06,11572
2021-02-07,10194
2021-02-08,13616
2021-02-09,10513
2021-02-10,8592
2021-02-11,10617
2021-02-12,9525
2021-02-13,9160
2021-02-14,5947
2021-02-15,5009
2021-02-16,8794
2021-02-17,6274
2021-02-18,7848
2021-02-19,7891
2021-02-20,6062
2021-02-21,4646
2021-02-22,4976
2021-02-23,6260
2021-02-24,5852
2021-02-25,5634
2021-02-26,6902
2021-02-27,4408
2021-02-28,3489
2021-03-01,4197
2021-03-02,4317
2021-03-03,4403
2021-03-04,5255
2021-03-05,5062
2021-03-06,4263
2021-03-07,2753
2021-03-08,4177
2021-03-09,4141
2021-03-10,3468
2021-03-11,3560
2021-03-12,2305
2021-03-13,3738
2021-03-14,2248
2021-03-15,2962
2021-03-16,2062
2021-03-17,3368
2021-03-18,3572
2021-03-19,3212
2021-03-20,2189
2021-03-21,1948
2021-03-22,2906
2021-03-23,2497
2021-03-24,2777
2021-03-25,2491
2021-03-26,3373
2021-03-27,2110
2021-03-28,2170
2021-03-29,3059
2021-03-30,2380
2021-03-31,2507
2021-04-01,2642
2021-04-02,3767
2021-04-03,2886
2021-04-04,1625
2021-04-05,3109
2021-04-06,2261
2021-04-07,2420
2021-04-08,2551
2021-04-09,3614
2021-04-10,2977
2021-04-11,3895
2021-04-12,3500
2021-04-13,2609
2021-04-14,2488
2021-04-15,2325
2021-04-16,2825
2021-04-17,2217
2021-04-18,1608
2021-04-19,2555
2021-04-20,2483
2021-04-21,1950
2021-04-22,2556
2021-04-23,2264
2021-04-24,374
2021-04-25,1351
2021-04-26,2730
2021-04-27,2123
2021-04-28,1754
2021-04-29,1384
2021-04-30,2333
2021-05-01,1556
2021-05-02,1359
2021-05-03,2250
2021-05-04,2187
2021-05-05,1672
2021-05-06,2548
2021-05-07,2154
2021-05-08,1299
2021-05-09,1054
2021-05-10,2083
2021-05-11,1591
2021-05-12,1603
2021-05-13,1766
2021-05-14,1595
2021-05-15,1311
2021-05-16,800
2021-05-17,1292
2021-05-18,1077
2021-05-19,1590
2021-05-20,1559
2021-05-21,1334
2021-05-22,775
2021-05-23,727
2021-05-24,1433
2021-05-25,1289
2021-05-26,1260
2021-05-27,5286
2021-05-28,1446
2021-05-29,774
2021-05-30,602
2021-05-31,387
2021-06-01,1305
2021-06-02,923
2021-06-03,1083
2021-06-04,1179
2021-06-05,829
2021-06-06,757
2021-06-07,1182
2021-06-08,1084
2021-06-09,949
2021-06-10,1048
2021-06-11,983
2021-06-12,607
2021-06-13,578
2021-06-14,1105
2021-06-15,1034
2021-06-16,861
2021-06-17,1010
2021-06-18,1142
2021-06-19,546
2021-06-20,645
2021-06-21,1291
2021-06-22,1075
2021-06-23,880
2021-06-24,1014
2021-06-25,1400
2021-06-26,785
2021-06-27,867
2021-06-28,1610
2021-06-29,656
2021-06-30,1607
2021-07-01,1452
2021-07-02,2026
2021-07-03,700
2021-07-04,571
2021-07-05,620
2021-07-06,2343
2021-07-07,3519
2021-07-08,1943
2021-07-09,2207
