date,cases,deaths
1/25/2020,1,0
1/26/2020,2,0
1/27/2020,2,0
1/28/2020,2,0
1/29/2020,2,0
1/30/2020,2,0
1/31/2020,3,0
2/1/2020,3,0
2/2/2020,6,0
2/3/2020,6,0
2/4/2020,6,0
2/5/2020,6,0
2/6/2020,6,0
2/7/2020,6,0
2/8/2020,6,0
2/9/2020,6,0
2/10/2020,7,0
2/11/2020,7,0
2/12/2020,7,0
2/13/2020,7,0
2/14/2020,7,0
2/15/2020,7,0
2/16/2020,7,0
2/17/2020,7,0
2/18/2020,7,0
2/19/2020,7,0
2/20/2020,8,0
2/21/2020,9,0
2/22/2020,9,0
2/23/2020,9,0
2/24/2020,11,0
2/25/2020,11,0
2/26/2020,26,0
2/27/2020,26,0
2/28/2020,27,0
2/29/2020,28,0
3/1/2020,33,0
3/2/2020,38,0
3/3/2020,45,0
3/4/2020,55,1
3/5/2020,67,1
3/6/2020,81,1
3/7/2020,100,1
3/8/2020,112,1
3/9/2020,172,2
3/10/2020,179,3
3/11/2020,202,4
3/12/2020,252,4
3/13/2020,320,5
3/14/2020,381,5
3/15/2020,478,6
3/16/2020,588,11
3/17/2020,732,14
3/18/2020,893,17
3/19/2020,1067,19
3/20/2020,1283,24
3/21/2020,1544,28
3/22/2020,1851,35
3/23/2020,2240,39
3/24/2020,2644,52
3/25/2020,3183,68
3/26/2020,4060,83
3/27/2020,4915,104
3/28/2020,5566,122
3/29/2020,6321,132
3/30/2020,7421,147
3/31/2020,8583,184
4/1/2020,9857,212
4/2/2020,11190,247
4/3/2020,12569,282
4/4/2020,13796,323
4/5/2020,15202,351
4/6/2020,16361,386
4/7/2020,17540,447
4/8/2020,19043,506
4/9/2020,20191,548
4/10/2020,21366,594
4/11/2020,22421,632
4/12/2020,23323,676
4/13/2020,24334,725
4/14/2020,25758,778
4/15/2020,27107,885
4/16/2020,28142,971
4/17/2020,29398,1050
4/18/2020,30829,1146
4/19/2020,31544,1176
4/20/2020,33862,1223
4/21/2020,35844,1316
4/22/2020,37573,1425
4/23/2020,39534,1548
4/24/2020,41368,1619
4/25/2020,42590,1692
4/26/2020,43691,1716
4/27/2020,45208,1800
4/28/2020,46570,1884
4/29/2020,48904,1961
4/30/2020,50470,2057
5/1/2020,52318,2147
5/2/2020,53753,2213
