date,cases,deaths
3/1/2020,1,0
3/2/2020,1,0
3/3/2020,2,0
3/4/2020,11,0
3/5/2020,22,0
3/6/2020,44,0
3/7/2020,89,0
3/8/2020,106,0
3/9/2020,142,0
3/10/2020,173,0
3/11/2020,217,0
3/12/2020,326,0
3/13/2020,421,0
3/14/2020,610,2
3/15/2020,732,6
3/16/2020,950,10
3/17/2020,1375,18
3/18/2020,2387,32
3/19/2020,4161,39
3/20/2020,7113,68
3/21/2020,10371,95
3/22/2020,15188,142
3/23/2020,20899,183
3/24/2020,25704,264
3/25/2020,33117,381
3/26/2020,39058,502
3/27/2020,44746,645
3/28/2020,53517,935
3/29/2020,59783,1180
3/30/2020,67504,1512
3/31/2020,76211,1929
4/1/2020,84364,2415
4/2/2020,93360,2963
4/3/2020,103689,3716
4/4/2020,115963,4535
4/5/2020,124085,5335
4/6/2020,133389,6149
4/7/2020,141703,7185
4/8/2020,151271,8138
4/9/2020,162036,9166
4/10/2020,172830,10162
4/11/2020,182990,11159
4/12/2020,191425,12116
4/13/2020,197973,12998
4/14/2020,205375,14001
4/15/2020,217130,14937
4/16/2020,225761,15669
4/17/2020,233293,16473
4/18/2020,240542,17141
4/19/2020,246741,17793
4/20/2020,251608,18412
4/21/2020,255932,19040
4/22/2020,261591,19647
4/23/2020,267932,20212
4/24/2020,276218,20759
4/25/2020,286901,21326
4/26/2020,292914,21804
4/27/2020,296991,22267
4/28/2020,300276,22777
4/29/2020,304994,23287
4/30/2020,309696,23616
5/1/2020,313575,23841
5/2/2020,318134,24035
5/3/2020,321833,24576
5/4/2020,324357,24788
5/5/2020,326659,25028
5/6/2020,329405,25956
5/7/2020,332931,26206
5/8/2020,335804,26358
5/9/2020,338519,26584
5/10/2020,340657,26798
5/11/2020,342267,27003
5/12/2020,343705,27282
5/13/2020,345828,27448
5/14/2020,348192,27617
5/15/2020,350951,27755
5/16/2020,353136,27953
5/17/2020,355037,28168
5/18/2020,356278,28302
5/19/2020,357757,28437
5/20/2020,359235,28540
5/21/2020,361313,28663
5/22/2020,362991,28802
5/23/2020,364745,28900
5/24/2020,366346,29046
5/25/2020,367625,29138
5/26/2020,368669,29241
5/27/2020,369801,29339
5/28/2020,371559,29438
5/29/2020,373108,29535
5/30/2020,374471,29612
5/31/2020,375575,29699
6/1/2020,376520,29766
6/2/2020,377881,29847
6/3/2020,378924,29918
6/4/2020,379977,30011
6/5/2020,381019,30066
6/6/2020,382102,30123
6/7/2020,382879,30183
6/8/2020,383591,30239
6/9/2020,384281,30309
6/10/2020,384945,30376
6/11/2020,385669,30431
6/12/2020,386490,30511
6/13/2020,387402,30565
6/14/2020,388096,30605
6/15/2020,388719,30645
6/16/2020,389349,30683
6/17/2020,389910,30722
6/18/2020,390536,30767
6/19/2020,391330,30816
6/20/2020,392037,30839
6/21/2020,392702,30884
6/22/2020,393257,30934
6/23/2020,393855,30970
6/24/2020,394430,31001
6/25/2020,395168,31029
6/26/2020,395972,31075
6/27/2020,396669,31105
6/28/2020,397293,31137
6/29/2020,397684,31143
6/30/2020,398142,31776
7/1/2020,398770,31791
7/2/2020,399642,31814
7/3/2020,400561,31836
7/4/2020,401286,31860
