date,cases,deaths
2/12/2020,1,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,4,0
2/22/2020,4,0
2/23/2020,4,0
2/24/2020,10,0
2/25/2020,10,0
2/26/2020,10,0
2/27/2020,10,0
2/28/2020,11,0
2/29/2020,11,0
3/1/2020,11,0
3/2/2020,11,0
3/3/2020,11,0
3/4/2020,12,0
3/5/2020,16,0
3/6/2020,19,0
3/7/2020,19,0
3/8/2020,23,0
3/9/2020,24,0
3/10/2020,31,0
3/11/2020,33,0
3/12/2020,41,0
3/13/2020,58,0
3/14/2020,69,0
3/15/2020,80,0
3/16/2020,87,1
3/17/2020,106,1
3/18/2020,166,2
3/19/2020,248,4
3/20/2020,386,5
3/21/2020,547,5
3/22/2020,639,7
3/23/2020,728,7
3/24/2020,857,11
3/25/2020,1132,13
3/26/2020,1542,21
3/27/2020,1971,25
3/28/2020,2381,30
3/29/2020,2722,35
3/30/2020,3065,46
3/31/2020,3588,57
4/1/2020,4402,65
4/2/2020,4952,80
4/3/2020,5773,98
4/4/2020,6566,124
4/5/2020,7117,136
4/6/2020,8150,159
4/7/2020,8968,177
4/8/2020,9897,195
4/9/2020,11372,228
4/10/2020,12291,249
4/11/2020,13208,265
4/12/2020,13776,288
4/13/2020,14487,320
4/14/2020,15303,365
4/15/2020,16106,395
4/16/2020,16928,428
4/17/2020,18131,461
4/18/2020,18927,487
4/19/2020,19441,503
4/20/2020,20035,523
4/21/2020,20949,552
4/22/2020,21769,571
4/23/2020,22706,601
4/24/2020,23650,625
4/25/2020,24494,662
4/26/2020,25209,676
4/27/2020,25963,699
4/28/2020,26868,738
4/29/2020,27839,776
4/30/2020,29072,828
5/1/2020,30342,853
5/2/2020,31433,875
5/3/2020,32299,890
5/4/2020,33134,914
5/5/2020,34286,955
5/6/2020,35441,985
5/7/2020,36682,1016
5/8/2020,37943,1059
5/9/2020,38849,1086
5/10/2020,40037,1110
5/11/2020,40988,1137
5/12/2020,42348,1169
5/13/2020,43822,1205
5/14/2020,45169,1256
5/15/2020,46987,1300
5/16/2020,47866,1330
5/17/2020,48828,1356
5/18/2020,49788,1362
5/19/2020,51080,1405
5/20/2020,52369,1443
5/21/2020,53441,1480
5/22/2020,54369,1498
5/23/2020,55451,1522
5/24/2020,56050,1533
5/25/2020,56490,1536
5/26/2020,57573,1552
5/27/2020,59105,1598
5/28/2020,60820,1618
5/29/2020,62073,1645
5/30/2020,63396,1676
5/31/2020,64974,1683
6/1/2020,66081,1695
6/2/2020,67966,1732
6/3/2020,69546,1766
6/4/2020,71330,1793
6/5/2020,73323,1821
6/6/2020,75077,1840
6/7/2020,75948,1846
6/8/2020,77326,1856
6/9/2020,79271,1886
6/10/2020,81771,1916
6/11/2020,83772,1942
6/12/2020,86031,1965
6/13/2020,88120,1989
6/14/2020,89542,1995
6/15/2020,91726,2018
6/16/2020,95973,2057
6/17/2020,99466,2099
6/18/2020,102677,2137
6/19/2020,107322,2168
6/20/2020,111594,2186
6/21/2020,114886,2195
6/22/2020,119646,2213
6/23/2020,124726,2246
6/24/2020,131310,2292
6/25/2020,136783,2321
6/26/2020,142582,2362
6/27/2020,148639,2398
6/28/2020,152866,2408
6/29/2020,158756,2430
6/30/2020,166703,2482
7/1/2020,174826,2518
7/2/2020,182260,2562
7/3/2020,190049,2609
7/4/2020,195707,2646
7/5/2020,200137,2666
7/6/2020,209350,2726
7/7/2020,219164,2816
7/8/2020,229116,2935
7/9/2020,240025,3037
7/10/2020,249948,3129
7/11/2020,258280,3206
7/12/2020,264811,3246
7/13/2020,273732,3313
7/14/2020,284638,3449
7/15/2020,296478,3590
7/16/2020,311516,3744
7/17/2020,321254,3889
7/18/2020,330059,3972
7/19/2020,338036,4033
7/20/2020,345672,4160
7/21/2020,355594,4319
7/22/2020,366561,4522
7/23/2020,376104,4714
7/24/2020,383662,4876
7/25/2020,391609,5002
7/26/2020,395738,5090
7/27/2020,402295,6292
7/28/2020,412849,6518
7/29/2020,421891,6834
7/30/2020,432134,6987
7/31/2020,443090,7273
8/1/2020,448224,7477
8/2/2020,454759,7520
8/3/2020,463541,7697
8/4/2020,473105,7951
8/5/2020,482467,8152
8/6/2020,490102,8400
8/7/2020,498266,8680
8/8/2020,504605,8885
8/9/2020,510392,8984
8/10/2020,517182,9064
8/11/2020,524898,9311
8/12/2020,531825,9645
8/13/2020,538805,9879
8/14/2020,547670,10195
8/15/2020,555343,10379
8/16/2020,563464,10498
8/17/2020,569058,10559
8/18/2020,577220,10798
8/19/2020,582623,11043
8/20/2020,587900,11248
8/21/2020,593405,11483
8/22/2020,599156,11650
8/23/2020,602144,11760
8/24/2020,607621,11824
8/25/2020,613707,12012
8/26/2020,619836,12212
8/27/2020,623647,12444
8/28/2020,628492,12615
8/29/2020,633834,12733
8/30/2020,636547,12807
8/31/2020,640317,12857
9/1/2020,645534,13004
9/2/2020,649844,13185
9/3/2020,653321,13387
9/4/2020,658789,13516
9/5/2020,663246,13660
9/6/2020,665338,13739
9/7/2020,666209,13781
9/8/2020,670427,13855
9/9/2020,675149,13986
9/10/2020,677888,13998
9/11/2020,683295,14279
9/12/2020,685921,14384
9/13/2020,689941,14458
9/14/2020,694547,14508
9/15/2020,701509,14661
9/16/2020,706034,14803
9/17/2020,710423,14909
9/18/2020,713652,15037
9/19/2020,716914,15124
9/20/2020,722460,15159
9/21/2020,744736,15212
9/22/2020,749069,15322
9/23/2020,753551,15455
9/24/2020,758379,15587
9/25/2020,761644,15637
9/26/2020,764642,15792
9/27/2020,770539,15831
9/28/2020,773679,15898
9/29/2020,780543,15994
9/30/2020,784027,16102
10/1/2020,788066,16220
10/2/2020,793962,16307
10/3/2020,799411,16440
10/4/2020,802440,16471
10/5/2020,806535,16519
10/6/2020,811191,16622
