date,cases
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,4
2020-03-06,3
2020-03-07,0
2020-03-08,4
2020-03-09,1
2020-03-10,7
2020-03-11,2
2020-03-12,8
2020-03-13,17
2020-03-14,11
2020-03-15,11
2020-03-16,7
2020-03-17,19
2020-03-18,60
2020-03-19,82
2020-03-20,138
2020-03-21,161
2020-03-22,92
2020-03-23,89
2020-03-24,129
2020-03-25,275
2020-03-26,410
2020-03-27,429
2020-03-28,410
2020-03-29,341
2020-03-30,343
2020-03-31,523
2020-04-01,814
2020-04-02,550
2020-04-03,821
2020-04-04,793
2020-04-05,551
2020-04-06,1033
2020-04-07,818
2020-04-08,929
2020-04-09,1475
2020-04-10,919
2020-04-11,917
2020-04-12,568
2020-04-13,711
2020-04-14,816
2020-04-15,803
2020-04-16,822
2020-04-17,1203
2020-04-18,796
2020-04-19,514
2020-04-20,594
2020-04-21,914
2020-04-22,820
2020-04-23,937
2020-04-24,944
2020-04-25,844
2020-04-26,715
2020-04-27,754
2020-04-28,905
2020-04-29,971
2020-04-30,1233
2020-05-01,1270
2020-05-02,1091
2020-05-03,866
2020-05-04,835
2020-05-05,1152
2020-05-06,1155
2020-05-07,1241
2020-05-08,1261
2020-05-09,906
2020-05-10,1188
2020-05-11,951
2020-05-12,1360
2020-05-13,1474
2020-05-14,1347
2020-05-15,1818
2020-05-16,879
2020-05-17,962
2020-05-18,960
2020-05-19,1292
2020-05-20,1289
2020-05-21,1072
2020-05-22,928
2020-05-23,1082
2020-05-24,599
2020-05-25,440
2020-05-26,1083
2020-05-27,1532
2020-05-28,1715
2020-05-29,1253
2020-05-30,1323
2020-05-31,1578
2020-06-01,1107
2020-06-02,1885
2020-06-03,1580
2020-06-04,1784
2020-06-05,1993
2020-06-06,1754
2020-06-07,871
2020-06-08,1378
2020-06-09,1945
2020-06-10,2500
2020-06-11,2001
2020-06-12,2259
2020-06-13,2089
2020-06-14,1422
2020-06-15,2184
2020-06-16,4247
2020-06-17,3493
2020-06-18,3211
2020-06-19,4645
2020-06-20,4272
2020-06-21,3292
2020-06-22,4760
2020-06-23,5080
2020-06-24,6584
2020-06-25,5473
2020-06-26,5799
2020-06-27,6057
2020-06-28,4227
2020-06-29,5890
2020-06-30,7947
2020-07-01,8123
2020-07-02,7434
2020-07-03,7789
2020-07-04,5658
2020-07-05,4430
2020-07-06,9213
2020-07-07,9814
2020-07-08,9952
2020-07-09,10909
2020-07-10,9923
2020-07-11,8332
2020-07-12,6531
2020-07-13,8921
2020-07-14,10906
2020-07-15,11840
2020-07-16,15038
2020-07-17,9738
2020-07-18,8805
2020-07-19,7977
2020-07-20,7636
2020-07-21,9922
2020-07-22,10967
2020-07-23,9543
2020-07-24,7558
2020-07-25,7947
2020-07-26,4129
2020-07-27,6557
2020-07-28,10554
2020-07-29,9042
2020-07-30,10243
2020-07-31,10956
2020-08-01,5134
2020-08-02,6535
2020-08-03,8782
2020-08-04,9564
2020-08-05,9362
2020-08-06,7635
2020-08-07,8164
2020-08-08,6339
2020-08-09,5787
2020-08-10,6790
2020-08-11,7716
2020-08-12,6927
2020-08-13,6980
2020-08-14,8865
2020-08-15,7673
2020-08-16,8121
2020-08-17,5594
2020-08-18,8162
2020-08-19,5403
2020-08-20,5277
2020-08-21,5505
2020-08-22,5751
2020-08-23,2988
2020-08-24,5477
2020-08-25,6086
2020-08-26,6129
2020-08-27,3811
2020-08-28,4845
2020-08-29,5342
2020-08-30,2713
2020-08-31,3770
2020-09-01,5217
2020-09-02,4310
2020-09-03,3477
2020-09-04,5468
2020-09-05,4457
2020-09-06,2092
2020-09-07,871
2020-09-08,4218
2020-09-09,4722
2020-09-10,2739
2020-09-11,5407
2020-09-12,2626
2020-09-13,4020
2020-09-14,4606
2020-09-15,6962
2020-09-16,4525
2020-09-17,4389
2020-09-18,3229
2020-09-19,3262
2020-09-20,5546
2020-09-21,22276
2020-09-22,4333
2020-09-23,4482
2020-09-24,4828
2020-09-25,3265
2020-09-26,2998
2020-09-27,5897
2020-09-28,3140
2020-09-29,6864
